vehicle_id,total_records,avg_risk_score,high_risk_count,medium_risk_count,low_risk_count,high_risk_rate,medium_risk_rate,low_risk_rate,anomaly_rate,high_stress_rate,avg_rpm,avg_fuel_rate,avg_throttle,avg_engine_temp,avg_fuel_efficiency,high_risk_rate_pct,medium_risk_rate_pct,low_risk_rate_pct,anomaly_rate_pct,high_stress_rate_pct,maintenance_priority,priority_rank,recommendation
VH-000000,30,0.1433,2,13,15,0.06666666666666667,0.43333333333333335,0.5,0.3333333333333333,0.23333333333333334,4216.233333333334,1.2673333333333334,43.836666666666666,86.42333333333333,33.16710615663251,6.67,43.33,50.0,33.33,23.33,MAINTENANCE_ALERT,0,"Ưu tiên kiểm tra/bảo trì. Xe có điểm rủi ro cao, cần xem xét động cơ, nhiên liệu, hành vi vận hành và anomaly."
VH-000001,31,0.1419,0,16,15,0.0,0.5161290322580645,0.4838709677419355,0.0,0.5161290322580645,4474.741935483871,7.1735483870967744,49.18064516129032,89.3741935483871,7.169220291185886,0.0,51.61,48.39,0.0,51.61,NORMAL_MONITORING,2,Theo dõi bình thường. Chưa có dấu hiệu rủi ro đáng kể.
VH-000002,35,0.1471,0,18,17,0.0,0.5142857142857142,0.4857142857142857,0.0,0.5142857142857142,4377.285714285715,14.500285714285715,43.41428571428571,87.44,3.02510141122675,0.0,51.43,48.57,0.0,51.43,NORMAL_MONITORING,2,Theo dõi bình thường. Chưa có dấu hiệu rủi ro đáng kể.
VH-000003,35,0.0986,1,10,24,0.02857142857142857,0.2857142857142857,0.6857142857142857,0.02857142857142857,0.3142857142857143,4055.1714285714284,4.816285714285714,45.93142857142857,87.36285714285714,9.362228849231142,2.86,28.57,68.57,2.86,31.43,NORMAL_MONITORING,2,Theo dõi bình thường. Chưa có dấu hiệu rủi ro đáng kể.
VH-000004,30,0.0983,0,11,19,0.0,0.36666666666666664,0.6333333333333333,0.03333333333333333,0.3333333333333333,4214.133333333333,5.271333333333334,45.690000000000005,85.20666666666666,8.052229856361492,0.0,36.67,63.33,3.33,33.33,NORMAL_MONITORING,2,Theo dõi bình thường. Chưa có dấu hiệu rủi ro đáng kể.
VH-000005,37,0.1041,1,12,24,0.02702702702702703,0.32432432432432434,0.6486486486486487,0.13513513513513514,0.24324324324324326,4142.1621621621625,1.3237837837837838,44.28648648648648,85.55135135135136,30.782590236204282,2.7,32.43,64.86,13.51,24.32,MAINTENANCE_ALERT,0,"Ưu tiên kiểm tra/bảo trì. Xe có điểm rủi ro cao, cần xem xét động cơ, nhiên liệu, hành vi vận hành và anomaly."
VH-000006,24,0.1188,1,5,18,0.041666666666666664,0.20833333333333334,0.75,0.041666666666666664,0.25,3890.9583333333335,15.3175,44.77916666666667,87.84583333333335,2.630992598802981,4.17,20.83,75.0,4.17,25.0,NORMAL_MONITORING,2,Theo dõi bình thường. Chưa có dấu hiệu rủi ro đáng kể.
VH-000007,28,0.1643,1,12,15,0.03571428571428571,0.42857142857142855,0.5357142857142857,0.03571428571428571,0.4642857142857143,4295.0,10.6075,47.675000000000004,86.575,4.277669242880346,3.57,42.86,53.57,3.57,46.43,NORMAL_MONITORING,2,Theo dõi bình thường. Chưa có dấu hiệu rủi ro đáng kể.
VH-000008,26,0.2154,2,13,11,0.07692307692307693,0.5,0.4230769230769231,0.11538461538461539,0.5,4112.653846153846,15.256923076923076,51.111538461538466,85.73846153846154,2.9436675652191715,7.69,50.0,42.31,11.54,50.0,MAINTENANCE_ALERT,0,"Ưu tiên kiểm tra/bảo trì. Xe có điểm rủi ro cao, cần xem xét động cơ, nhiên liệu, hành vi vận hành và anomaly."
VH-000009,30,0.1417,2,12,16,0.06666666666666667,0.4,0.5333333333333333,0.1,0.43333333333333335,4437.266666666666,6.792666666666666,46.166666666666664,89.68,7.232778472781086,6.67,40.0,53.33,10.0,43.33,MAINTENANCE_ALERT,0,"Ưu tiên kiểm tra/bảo trì. Xe có điểm rủi ro cao, cần xem xét động cơ, nhiên liệu, hành vi vận hành và anomaly."
